ReturnYear,MSAdjMARSS
1999,0.012921725070657152
2000,0.03570591538541136
2001,0.08586004628226751
2002,0.07728402090934537
2003,0.08935051619971274
2004,0.05283825919364711
2005,0.047322531553852715
2006,0.02552034814847498
2007,0.015344578757240232
2008,0.043216645980023186
2009,0.08739114885066815
2010,0.06491847278529703
2011,0.07979205831727577
2012,0.051959523816133356
2013,0.03819923091971645
2014,0.14933562536529094
2015,0.02330152093986438
2016,0.0357781173363762
2017,0.048950514569682434
2018,0.05102862500465516
2019,0.03577866767201853
2020,0.059135070746563524
2021,0.1506160251943859
2022,0.05594302980506269
2023,0.08007340538736774
2024,0.07117694931464932
