ReturnYear,OPIH_Jacks_Smolt
2011,0.0012
2012,0.0009
2013,0.0014
2014,0.0023
2015,0.002
2016,0.001
2017,0.0013
2018,0.0011
2019,0.0027
2020,0.0009
2021,0.0045
2022,0.0031
2023,0.003081871
2024,0.00379798
2025,0.002535
