date,buoyid,obs,mle
2010-02-05,46087,NA,5.0536
2010-02-05,46211,9.6646,9.6646
2010-02-06,46041,10.3167,10.3167
2010-02-06,46050,10.9083,10.9083
2010-02-06,46087,NA,5.0728
2010-02-06,46211,9.5702,9.5702
2010-02-07,46041,10.1958,10.1958
2010-02-07,46050,11.0739,11.0739
2010-02-07,46087,NA,5.0889
2010-02-07,46211,9.5404,9.5404
2010-02-08,46041,10.2625,10.2625
2010-02-08,46050,10.9833,10.9833
2010-02-08,46087,NA,5.1037
2010-02-08,46211,9.5717,9.5717
2010-02-09,46041,10.1917,10.1917
2010-02-09,46050,10.9833,10.9833
2010-02-09,46087,NA,5.0986
2010-02-09,46211,9.5256,9.5256
2010-02-10,46041,10.2208,10.2208
2010-02-10,46050,10.9667,10.9667
2010-02-10,46087,NA,5.1068
2010-02-10,46211,9.4792,9.4792
2010-02-11,46041,10.1478,10.1478
2010-02-11,46050,10.8792,10.8792
2010-02-11,46087,NA,5.1098
2010-02-11,46211,9.5733,9.5733
2010-02-12,46041,9.9333,9.9333
2010-02-12,46050,10.9174,10.9174
2010-02-12,46087,NA,5.1366
2010-02-12,46211,9.8313,9.8313
2010-02-13,46041,10.0217,10.0217
2010-02-13,46050,11.1417,11.1417
2010-02-13,46087,NA,5.2577
2010-02-13,46211,10.1875,10.1875
2010-02-14,46041,10.3708,10.3708
2010-02-14,46050,11.1917,11.1917
2010-02-14,46087,NA,5.3471
2010-02-14,46211,10.2596,10.2596
2010-02-15,46041,10.35,10.35
2010-02-15,46050,11.1125,11.1125
2010-02-15,46087,NA,5.3321
2010-02-15,46211,10.1812,10.1812
2010-02-16,46041,10.2522,10.2522
2010-02-16,46050,11.1625,11.1625
2010-02-16,46087,NA,5.3725
2010-02-16,46211,10.3958,10.3958
2010-02-17,46041,10.2875,10.2875
2010-02-17,46050,11.125,11.125
2010-02-17,46087,NA,5.3499
2010-02-17,46211,10.1723,10.1723
2010-02-18,46041,10.325,10.325
2010-02-18,46050,11.1708,11.1708
2010-02-18,46087,NA,5.3704
2010-02-18,46211,10.1313,10.1313
2010-02-19,46041,10.3958,10.3958
2010-02-19,46050,11.0583,11.0583
2010-02-19,46087,NA,5.3534
2010-02-19,46211,9.9822,9.9822
2010-02-20,46041,10.3042,10.3042
2010-02-20,46050,10.9625,10.9625
2010-02-20,46087,NA,5.3203
2010-02-20,46211,9.8787,9.8787
2010-02-21,46041,10.360900000000001,10.360900000000001
2010-02-21,46050,10.9042,10.9042
2010-02-21,46087,NA,5.3258
2010-02-21,46211,9.8298,9.8298
2010-02-22,46041,10.2417,10.2417
2010-02-22,46050,10.8958,10.8958
2010-02-22,46087,NA,5.2845
2010-02-22,46211,9.6149,9.6149
2010-02-23,46041,9.8917,9.8917
2010-02-23,46050,10.9917,10.9917
2010-02-23,46087,NA,5.2453
2010-02-23,46211,9.5404,9.5404
2010-02-24,46041,9.9,9.9
2010-02-24,46050,11.0174,11.0174
2010-02-24,46087,NA,5.2784
2010-02-24,46211,9.6271,9.6271
2010-02-25,46041,9.6792,9.6792
2010-02-25,46050,11.1,11.1
2010-02-25,46087,NA,5.3254
2010-02-25,46211,9.9729,9.9729
2010-02-26,46041,9.6391,9.6391
2010-02-26,46050,11.1,11.1
2010-02-26,46087,NA,5.3247
2010-02-26,46211,9.9234000000000009,9.9234000000000009
2010-02-27,46041,9.7625,9.7625
2010-02-27,46050,11.0167,11.0167
2010-02-27,46087,NA,5.3543
2010-02-27,46211,9.983,9.983
2010-02-28,46041,10.0083,10.0083
2010-02-28,46050,10.9833,10.9833
2010-02-28,46087,NA,5.3978
2010-02-28,46211,9.9558,9.9558
2010-03-01,46041,10.3,10.3
2010-03-01,46050,10.95,10.95
2010-03-01,46087,NA,5.4696
2010-03-01,46211,10.0596,10.0596
2010-03-02,46041,10.3682,10.3682
2010-03-02,46050,10.7958,10.7958
